Feature Set,Accuracy
{},78.6
{2},85.2
"{2, 8}",94.6
"{2, 8, 4}",94.4
"{2, 8, 4, 10}",91.8
"{2, 8, 4, 10, 5}",88.6
"{2, 8, 4, 10, 5, 11}",84.0
"{2, 8, 4, 10, 5, 11, 3}",80.4
"{2, 8, 4, 10, 5, 11, 3, 12}",76.0
"{2, 8, 4, 10, 5, 11, 3, 12, 1}",74.8
"{2, 8, 4, 10, 5, 11, 3, 12, 1, 7}",70.8
"{2, 8, 4, 10, 5, 11, 3, 12, 1, 7, 9}",68.8
"{2, 8, 4, 10, 5, 11, 3, 12, 1, 7, 9, 6}",67.0
