Feature Set,Accuracy
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",67.0
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12}",72.2
"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}",74.0
"{1, 2, 4, 5, 6, 7, 8, 9, 10}",79.6
"{1, 2, 4, 5, 7, 8, 9, 10}",79.6
"{1, 2, 4, 5, 7, 8, 10}",82.4
"{1, 2, 4, 7, 8, 10}",83.4
"{2, 4, 7, 8, 10}",87.0
"{2, 4, 8, 10}",91.8
"{2, 4, 8}",94.4
"{2, 8}",94.6
{2},85.2
{},78.6
